producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Azucar del Sur Rubia 1 kg,Arroz del Sur,Abarrotes,7755139001598,Unidad,1,5.5,0
Azucar Impalpable Fleischmann 200 gr,Fleischmann,Abarrotes,7750871001288,Unidad,1,4.2,3
Azucar impalpable Umsha 1.0 kg,Umsha,Abarrotes,7750243069458,Unidad,1,11.0,0
Azucar Rubia x kg,Genérico,Abarrotes,7751234012972,Unidad,1,3.7,0
Babysec premium G 8.5-12 KG 58 pañales,Babysec,Cuidado Personal,,Unidad,1,1.3,0
Babysec Premium XG +11 kg,Babysec,Cuidado Personal,7759185005289,Unidad,1,1.3,0
Babysec premium XXG +13 KG,Babysec,Cuidado Personal,7759185005296,Unidad,1,1.3,0
BAILEYS  CREAM ORIGINAL 750 ML,Baileys,Licores y Cervezas,5011013100132,Unidad,1,59.0,2
Ballerina Jabón líquido Violetas Doypack 750 ml,Ballerina,Cuidado Personal,7804920350855,Unidad,1,8.5,0
Ballerina Jabón líquido Yoghurt y Berries Doypack 750 ml,Ballerina,Cuidado Personal,7804920002761,Unidad,1,8.5,0
Barra Energetica Mix Mundo Natural x 50 g,Mundo Natural,Abarrotes,,Unidad,1,2.2,0
Barras de Quinua 40 gr,Genérico,Abarrotes,7751451000509,Unidad,1,1.2,0
Batidito 80 gr,Genérico,Lácteos,7751271025287,Unidad,1,0.7,0
Batimix fresa pop chocolate gloria 144 g,Gloria,Lácteos,7751271031752,Unidad,1,3.5,0
BATIMIX MINI COOKIES (OREO) GLORIA 138 G,Gloria,Lácteos,7751271031837,Unidad,1,3.5,0
Batimix vainilla hojuelas gloria 144 g,Gloria,Lácteos,7751271031820,Unidad,1,3.5,0
BATIMIX VAINILLA POP CHOCOLATE GLORIA 146 G,Gloria,Lácteos,7751271031745,Unidad,1,3.5,0
BB Chicha Morada Donofrio 64.4 g,D'Onofrio,Bebidas,7613037995985,Unidad,1,1.0,0
Bebida con almendra Laive 800 ml,Laive,Bebidas,7750151009546,Unidad,1,7.5,0
Bebida Instantanea Granos Andinos Winters 15 gr,Winter's,Bebidas,7752748012571,Unidad,1,1.2,2
Benedictino Agua sin gas PET 3 L,Benedictino,Bebidas,7750182006637,Unidad,1,3.0,0
Betun Santiago Amarillo 45 ml,Santiago,Cuidado Personal,7750034000158,Unidad,1,2.5,0
Betun Santiago Azul 90 ml,Santiago,Cuidado Personal,7750034000783,Unidad,1,3.5,0
Betun Santiago Negro 30 g,Santiago,Cuidado Personal,7750034000202,Unidad,1,2.5,0
Betun Santiago Negro 34 g,Santiago,Cuidado Personal,7750034000097,Unidad,1,2.5,0
